id;adm_lb_nom;sup_id;emr_lb_systeme;emr_dt;sta_nm_dpt;code_insee;generation;date_maj;sta_nm_anfr;nat_id;sup_nm_haut;tpo_id;adr_lb_lieu;adr_lb_add1;adr_lb_add2;adr_lb_add3;adr_nm_cp;com_cd_insee;coordonnees;coord;statut
218120;ORANGE;661309;5G NR 3500;;075;75113;5G;2023-01-18;0752290400;38;41;9;"";57 r clisson;"";"";75013;75113;"48.830833333333, 2.366111111111";48°49'51''N 2°21'58''E;Projet approuvé
218129;ORANGE;661311;5G NR 3500;;075;75113;5G;2023-01-18;0752291174;38;42;2;"";130 BD de l'Hôpital;"";"";75013;75113;"48.834444444444, 2.357222222222";48°50'4''N 2°21'26''E;Projet approuvé
218697;ORANGE;657994;5G NR 3500;;075;75111;5G;2023-01-18;0752291573;38;41;9;"";"17, 19 R FAIDHERBE";"";"";75011;75111;"48.851666666667, 2.383333333333";48°51'6''N 2°23'0''E;Projet approuvé
219629;ORANGE;660174;5G NR 3500;;075;75113;5G;2023-01-18;0752290378;38;49;16;"";204/210 r du château des rentiers;"";"";75013;75113;"48.831388888889, 2.360833333333";48°49'53''N 2°21'39''E;Projet approuvé
221020;ORANGE;647928;5G NR 3500;;075;75114;5G;2023-01-18;0752290494;38;35;9;"";121 r d'alésia;"";"";75014;75114;"48.828888888889, 2.323055555556";48°49'44''N 2°19'23''E;Projet approuvé
221433;ORANGE;727442;5G NR 3500;;075;75117;5G;2023-01-18;0752290334;38;32.7;9;"";49 r cardinet;"";"";75017;75117;"48.882777777778, 2.305833333333";48°52'58''N 2°18'21''E;Projet approuvé
221461;ORANGE;727456;5G NR 3500;;075;75117;5G;2023-01-18;0752290477;17;26;9;"";12-14 r lacroix;"";"";75017;75117;"48.89, 2.322222222222";48°53'24''N 2°19'20''E;Projet approuvé
221476;ORANGE;727462;5G NR 3500;;075;75117;5G;2023-01-18;0752291190;38;31;9;"";53-55 r Legendre;"";"";75017;75117;"48.885555555556, 2.316388888889";48°53'8''N 2°18'59''E;Projet approuvé
223420;ORANGE;744812;5G NR 3500;;075;75106;5G;2023-01-18;0752292366;38;32;28;"";"4, 14 R DUPIN";"";"";75006;75106;"48.85, 2.324722222222";48°51'0''N 2°19'29''E;Projet approuvé
225835;ORANGE;690752;5G NR 3500;;075;75112;5G;2023-01-18;0752291035;38;49;45;"";189 r de bercy;"";"";75012;75112;"48.843055555556, 2.373333333333";48°50'35''N 2°22'24''E;Projet approuvé
225989;ORANGE;695377;5G NR 3500;;075;75118;5G;2023-01-18;0752290280;38;49;28;"";26 Raymond Quéneau;"";"";75018;75118;"48.896666666667, 2.360555555556";48°53'48''N 2°21'38''E;Projet approuvé
226130;ORANGE;697902;5G NR 3500;;075;75119;5G;2023-01-18;0752290190;38;28;28;"";84 r rebeval;"";"";75019;75119;"48.873611111111, 2.3825";48°52'25''N 2°22'57''E;Projet approuvé
226178;ORANGE;697922;5G NR 3500;;075;75119;5G;2023-01-18;0752290461;17;46;9;"";11 r riquet;"";"";75019;75119;"48.888055555556, 2.375555555556";48°53'17''N 2°22'32''E;Projet approuvé
226187;ORANGE;697924;5G NR 3500;;075;75119;5G;2023-01-18;0752290469;38;45;9;"";55 AV JEAN JAURES;"";"";75019;75119;"48.884722222222, 2.375555555556";48°53'5''N 2°22'32''E;Projet approuvé
226224;ORANGE;697945;5G NR 3500;;075;75119;5G;2023-01-18;0752291494;38;58;28;"";55 r riquet;Métro Riquet;"";75019;75119;"48.889166666667, 2.369166666667";48°53'21''N 2°22'9''E;Projet approuvé
227388;ORANGE;711846;5G NR 3500;;075;75117;5G;2023-01-18;0752290423;38;33;9;"";"7, av mac mahon";"";"";75017;75117;"48.875555555556, 2.294444444444";48°52'32''N 2°17'40''E;Projet approuvé
228266;ORANGE;708444;5G NR 3500;;075;75111;5G;2023-01-18;0752290313;38;27;28;"";7 r Robert Houdin;"";"";75011;75111;"48.870555555556, 2.375555555556";48°52'14''N 2°22'32''E;Projet approuvé
229197;ORANGE;717934;5G NR 3500;;075;75109;5G;2023-01-18;0752290221;38;39;29;"";79-81 r du faubourg poissonnière;"";"";75009;75109;"48.876388888889, 2.348055555556";48°52'35''N 2°20'53''E;Projet approuvé
229617;ORANGE;695820;5G NR 3500;;075;75118;5G;2023-01-18;0752290316;38;33;28;"";70 r Vauvenargues;17 r Bernard Dimey;"";75018;75118;"48.896666666667, 2.330555555556";48°53'48''N 2°19'50''E;Projet approuvé
229633;ORANGE;695828;5G NR 3500;;075;75118;5G;2023-01-18;0752290354;38;26;28;"";17 r Cugnot;"";"";75018;75118;"48.892222222222, 2.365277777778";48°53'32''N 2°21'55''E;Projet approuvé
229752;ORANGE;691512;5G NR 3500;;075;75111;5G;2023-01-18;0752290122;38;35;34;"";97 r du Faubourg St Antoine;"";"";75011;75111;"48.851666666667, 2.375555555556";48°51'6''N 2°22'32''E;Projet approuvé
229874;ORANGE;694487;5G NR 3500;;075;75111;5G;2023-01-18;0752291216;17;25;21;"";8 b  r de la fontaine au roi;"";"";75011;75111;"48.868333333333, 2.369166666667";48°52'6''N 2°22'9''E;Projet approuvé
229881;ORANGE;696035;5G NR 3500;;075;75118;5G;2023-01-18;0752290480;38;30;9;"";5 r Simplon;"";"";75018;75118;"48.893333333333, 2.351944444444";48°53'36''N 2°21'7''E;Projet approuvé
230001;ORANGE;689810;5G NR 3500;;075;75112;5G;2023-01-18;0752290223;38;43;9;"";157-159 av daumesnil;"";"";75012;75112;"48.841388888889, 2.388611111111";48°50'29''N 2°23'19''E;Projet approuvé
